,opta_id,injury_start_date,sport,team,gsis_id,depth_chart_order,sportradar_id,active,oddsjam_id,fantasy_data_id,last_name,yahoo_id,injury_body_part,pandascore_id,team_abbr,first_name,years_exp,birth_date,search_last_name,metadata,college,status,swish_id,search_full_name,news_updated,practice_participation,birth_city,injury_notes,espn_id,rotowire_id,competitions,stats_id,team_changed_at,practice_description,depth_chart_position,injury_status,number,search_rank,player_id,birth_state,position,age,weight,full_name,search_first_name,fantasy_positions,birth_country,hashtag,rotoworld_id,high_school,height
6462,,,nfl,, 00-0035057,,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,True,,21427.0,Richardson,32262.0,,,,Ellis,3.0,1995-02-12,richardson,{'channel_id': '1116853254748110848'},Georgia Southern,Active,,ellisrichardson,,,,,3926590.0,14134.0,[],887183.0,,,,,45.0,9999999.0,6462,,TE,26.0,245,Ellis Richardson,ellis,['TE'],,#ellisrichardson-NFL-FA-45,,Douglas County,75
11255,,,nfl,,,,55510c00-ead2-11ed-999e-03b49558b5db,True,,,Amoah,,,,,Nick,0.0,,amoah,{'channel_id': '1116852669114220544'},UC Davis,Active,1052592.0,nickamoah,,,,,,,[],,,,,,63.0,9999999.0,11255,,OL,,306,Nick Amoah,nick,['OL'],,#nickamoah-NFL-FA-63,,Davis (CA),74
8842,,,nfl,,,,3c804b10-d3a8-11ec-96a0-c3471a31202c,True,,,Morrison,,,,,Malkelm,1.0,,morrison,"{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}",Army,Injured Reserve,1131137.0,malkelmmorrison,1653351613345.0,,,,,16558.0,[],,,,,,0.0,9999999.0,8842,,CB,,186,Malkelm Morrison,malkelm,['DB'],,#malkelmmorrison-NFL-FA-0,,Iona Prep (NY),70
7926,,,nfl,,,,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,True,,,Tucker,,,,,Carl,1.0,1997-02-06,tucker,{'channel_id': '1116853436709601280'},Alabama,Active,866047.0,carltucker,1631568053348.0,,,,,15412.0,[],,,,,,0.0,426.0,7926,,TE,24.0,250,Carl Tucker,carl,['TE'],,#carltucker-NFL-FA-0,,Hough (NC),74
1875,,,nfl,NYJ,00-0031296,1.0,bf5f7564-349a-439a-a8a9-4ddb10448a8d,True,97CDFFA7FA4D,16093.0,Mosley,27545.0,,,,C.J.,11.0,1992-06-19,mosley,"{'channel_id': '1113708745461886977', 'rookie_year': '2014'}",Alabama,Active,557173.0,cjmosley,1736808643073.0,,,,16720.0,9380.0,[],,,,MLB,,57.0,216.0,1875,,LB,32.0,231,C.J. Mosley,cj,['LB'],,#cjmosley-NFL-NYJ-57,9631.0,Theodore (AL),74
8478,,,nfl,IND,,1.0,75c1ed8d-4f05-43c1-b398-f212984b6b8b,True,0823DA35726D,,Womack,,,,,Samuel,3.0,1999-07-07,womack,"{'channel_id': '1113708876978483201', 'rookie_year': '2022'}",Toledo,Active,1085180.0,samuelwomack,1737226242174.0,,,,,16274.0,[],,,,LCB,,33.0,9999999.0,8478,,CB,25.0,189,Samuel Womack,samuel,['DB'],,#samuelwomack-NFL-IND-33,,East English Village Prep (MI),71
995,,,nfl,,00-0028445,,e9a0297a-0b34-4c55-af1f-ca113d672195,False,,13476.0,Parker,25090.0,,,,Ron,11.0,1987-08-17,parker,,Newberry,Injured Reserve,,ronparker,1578330037366.0,,,,14297.0,7817.0,[],512802.0,,,,,0.0,9999999.0,995,,FS,34.0,206,Ron Parker,ron,['DB'],,#ronparker-NFL-FA-0,6811.0,Beaufort (SC),72
1408,,,nfl,TB,00-0030496,,7735c02a-ee75-447c-86e6-6c2168500050,True,,14967.0,Bell,26671.0,,,,Le'Veon,9.0,1992-02-18,bell,{'channel_id': '1116852736248250368'},Michigan State,Active,543654.0,leveonbell,1707165960874.0,,,,15825.0,8617.0,[],543654.0,,,,,6.0,235.0,1408,,RB,29.0,225,Le'Veon Bell,leveon,['RB'],,#leveonbell-NFL-TB-6,8390.0,Groveport Madison (OH),73
8074,,,nfl,,,,22ec09a7-6001-43b7-adf9-cf0df941ad0e,True,,,Seybert,,,,,Matt,1.0,1997-05-02,seybert,{'channel_id': '1116853462399713280'},Michigan State,Active,,mattseybert,1629836727949.0,,,,,15785.0,[],,,,,,41.0,,8074,,TE,24.0,252,Matt Seybert,matt,['TE'],,#mattseybert-NFL-FA-41,,St. Francis (MI),76
156,,,nfl,,00-0025557,,a2907a39-139b-483f-8369-e278c26a6951,False,,4122.0,Gay,8424.0,,,,William,13.0,1985-01-01,gay,,Louisville,Inactive,,williamgay,1534088707204.0,,,,10613.0,6211.0,[],229499.0,,,,,25.0,9999999.0,156,,CB,35.0,187,William Gay,william,['DB'],,#williamgay-NFL-FA-25,4319.0,James R. Rickards (FL),"5'10"""
7311,,,nfl,,,,3f95afdc-2140-424b-8250-7d4e273c2efc,True,8ADDCA292DD5,22303.0,White,33318.0,,,,Javin,4.0,1997-02-21,white,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",UNLV,Active,881687.0,javinwhite,1721609703351.0,,,,3921709.0,14902.0,[],,,,,,60.0,9999999.0,7311,,LB,27.0,211,Javin White,javin,"['DB', 'LB']",,#javinwhite-NFL-FA-60,,McClymonds (CA),74
2091,,,nfl,ARI, 00-0031052,,ba905b34-8412-4553-9055-3460368cc608,True,,16407.0,Breeland,27630.0,,,,Bashaud,8.0,1992-01-30,breeland,{'channel_id': '1116852779298586624'},Clemson,Active,560235.0,bashaudbreeland,1641345029845.0,,,,16890.0,9648.0,[],560235.0,,,,,24.0,9999999.0,2091,,CB,30.0,197,Bashaud Breeland,bashaud,['DB'],,#bashaudbreeland-NFL-ARI-24,9585.0,Allendale-Fairfax (SC),71
11533,,,nfl,DAL,,1.0,110e6fe0-1c34-11ee-8294-af17faac15de,True,872D94B3727D,,Aubrey,,,,,Brandon,2.0,1995-03-14,aubrey,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",Notre Dame,Active,1454349.0,brandonaubrey,1736183405931.0,,,,,17649.0,[],,,,K,,17.0,139.0,11533,,K,29.0,218,Brandon Aubrey,brandon,['K'],,#brandonaubrey-NFL-DAL-17,,Plano Senior (TX),75
2508,,,nfl,,,,faf5f854-73af-4ab9-8f19-95ea75431d45,False,,16967.0,Herrera,28595.0,,,,Amarlo,5.0,1991-09-20,herrera,,Georgia,Inactive,,amarloherrera,,,,,2578542.0,10372.0,[],,,,,,56.0,9999999.0,2508,,LB,28.0,249,Amarlo Herrera,amarlo,['LB'],,#amarloherrera-NFL-FA-56,,North Clayton,"6'1"""
2199,,,nfl,,00-0031255,,25a958c9-4035-43ad-8c9c-1309ea592e66,True,,16570.0,Edebali,27923.0,,,,Kasim,8.0,1989-08-17,edebali,{'channel_id': '1116852786479235072'},Boston College,Inactive,,kasimedebali,1572497732686.0,,,,17141.0,9378.0,[],498200.0,,,,,95.0,9999999.0,2199,,DE,32.0,253,Kasim Edebali,kasim,"['DL', 'LB']",,#kasimedebali-NFL-FA-95,,Kimball Union (NH),74
2881,,,nfl,,,,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,False,,17349.0,Slavin,29002.0,,,,Tyler,1.0,1992-01-29,slavin,,New Mexico Highlands,Inactive,,tylerslavin,,,,,2516911.0,10861.0,[],542556.0,,,,,13.0,9999999.0,2881,,WR,26.0,215,Tyler Slavin,tyler,['WR'],,#tylerslavin-NFL-FA-13,,,"6'2"""
2064,,,nfl,DAL,00-0031411,1.0,3e3bd10a-6462-47f8-8938-42518781d060,True,4306CF8AB318,16366.0,Lawrence,27562.0,,,,DeMarcus,11.0,1992-04-28,lawrence,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",Boise State,Active,651780.0,demarcuslawrence,1736309414205.0,,,,16802.0,9344.0,[],,,,LDE,,90.0,547.0,2064,,DE,32.0,265,DeMarcus Lawrence,demarcus,['DL'],,#demarcuslawrence-NFL-DAL-90,9633.0,Silver Bluff (SC),75
1284,,,nfl,,,,9f0f0495-b5b8-45c2-866b-02d9f96087f7,False,,14731.0,Dunbar,26064.0,,,,Lance,8.0,1990-01-25,dunbar,,North Texas,Inactive,,lancedunbar,1520632201229.0,,,,15369.0,8086.0,[],468901.0,,,,,25.0,9999999.0,1284,,RB,30.0,187,Lance Dunbar,lance,['RB'],,#lancedunbar-NFL-FA-25,7798.0,Haltom (TX),"5'8"""
2801,,,nfl,,00-0031511,,e0abf267-f265-4682-9bb7-72bbcefda451,True,,17269.0,White,28800.0,,,,DeAndrew,7.0,1991-10-16,white,{'channel_id': '1116852821904326656'},Alabama,Inactive,,deandrewwhite,1598920530064.0,,,,2515962.0,10243.0,[],557177.0,,,,,18.0,9999999.0,2801,,WR,30.0,195,DeAndrew White,deandrew,['WR'],,#deandrewwhite-NFL-FA-18,,North Shore (TX),72
4501,,,nfl,,00-0033501,,87c4b182-e4bc-4f35-97ec-8537a2665875,True,,19373.0,Lawrence,30412.0,,,,Devaroe,5.0,1992-10-13,lawrence,{'channel_id': '1116852977559142400'},Auburn,Active,835146.0,devaroelawrence,1627877117922.0,,,,3121581.0,12173.0,[],,,,,,0.0,1257.0,4501,,DT,29.0,294,Devaroe Lawrence,devaroe,['DL'],,#devaroelawrence-NFL-FA-0,,Carolina (SC),74
5852,,,nfl,, 00-0035684,,02d1b3c3-f292-4174-89fa-9ecc6286adb0,True,,21020.0,Baker,31862.0,,,,DeAndre,3.0,1997-09-04,baker,{'channel_id': '1116853171138854912'},Georgia,Active,880521.0,deandrebaker,1660181717555.0,,,,3915163.0,13475.0,[],,,,,,30.0,9999999.0,5852,,CB,24.0,186,DeAndre Baker,deandre,['DB'],,#deandrebaker-NFL-FA-30,,Miami Northwestern (FL),71
1073,,,nfl,,,,c2c65162-07df-48fb-93ce-86f340afb688,False,,13881.0,Thompson,,,,,Taylor,3.0,1989-10-19,thompson,,SMU,Inactive,,taylorthompson,,,,,15067.0,,[],460898.0,,,,,84.0,9999999.0,1073,,TE,27.0,268,Taylor Thompson,taylor,['TE'],,#taylorthompson-NFL-FA-84,,,"6'6"""
3374,,,nfl,,00-0032942,,e431a42b-5abe-49de-9c8c-f143f393591c,True,0B131E4B26AA,18135.0,Seymour,29452.0,,,,Kevon,9.0,1993-11-30,seymour,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",USC,Active,691066.0,kevonseymour,1737861324918.0,,,,2971603.0,11170.0,[],691066.0,,,,,38.0,680.0,3374,,CB,31.0,185,Kevon Seymour,kevon,['DB'],,#kevonseymour-NFL-FA-38,,Muir (CA),72
8012,,,nfl,,,,a01a9064-c0c3-4f3e-8753-89f5859879f9,True,,,Straughter,,,,,Corey,1.0,1998-10-16,straughter,{'channel_id': '1116853451070898176'},Louisiana-Monroe,Active,1067387.0,coreystraughter,,,,,,15702.0,[],,,,,,0.0,,8012,,CB,23.0,183,Corey Straughter,corey,['DB'],,#coreystraughter-NFL-FA-0,,Neville (LA),70
7918,,,nfl,,,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,True,,,Rose,,,,,A.J.,1.0,1997-10-14,rose,{'channel_id': '1116853435631665152'},Kentucky,Active,920059.0,ajrose,1661021115529.0,,,,,15350.0,[],,,,,,24.0,311.0,7918,,RB,24.0,212,A.J. Rose,aj,['RB'],,#ajrose-NFL-FA-24,,Garfield Heights (OH),73
777,,,nfl,,,,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,False,,12610.0,Pears,7588.0,,,,Erik,15.0,1982-06-25,pears,,Colorado State,Inactive,,erikpears,,,,,9399.0,7124.0,[],,,,,,71.0,9999999.0,777,,T,38.0,316,Erik Pears,erik,['OL'],,#erikpears-NFL-FA-71,,John F. Kennedy (CO),"6'8"""
5428,,,nfl,,,,e5395ca3-47d0-403b-84f5-41bfeba78e67,True,,20526.0,Jeune,31388.0,,,,Ricky,4.0,1993-12-03,jeune,{'channel_id': '1116853100703907840'},Georgia Tech,Active,,rickyjeune,1535476203701.0,,,,3055908.0,13096.0,[],748570.0,,,,,2.0,9999999.0,5428,,WR,28.0,212,Ricky Jeune,ricky,['WR'],,#rickyjeune-NFL-FA-2,,Saint Joseph Regional (NJ),75
1982,,,nfl,,00-0031259,,76c630cf-0fd3-4210-a73d-9347da9d9d66,True,,16249.0,Colvin,27642.0,,,,Aaron,8.0,1991-10-02,colvin,{'channel_id': '1116852771618816000'},Oklahoma,Active,,aaroncolvin,1599351058114.0,,,,16900.0,9337.0,[],542873.0,,,,,34.0,9999999.0,1982,,CB,30.0,191,Aaron Colvin,aaron,['DB'],,#aaroncolvin-NFL-FA-34,9348.0,Owasso (OK),72
12376,,,nfl,,,,07923890-0e3a-11ef-9a4a-c565d3259077,True,,,Wilson,,,,,Marquis,1.0,,wilson,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",Purdue,Active,,marquiswilson,,,,,,,[],,,,,,,9999999.0,12376,,DB,,185,Marquis Wilson,marquis,['DB'],,#marquiswilson-NFL-FA,,Avon Old Farms (CT),71
7882,,,nfl,,,,2b02fad4-574c-4a40-ab7d-43aca2142b66,True,,,Uphoff,,,,,Christian,1.0,1998-01-22,uphoff,{'channel_id': '1116853428480376832'},Illinois State,Active,943834.0,christianuphoff,,,,,,15476.0,[],,,,,,0.0,,7882,,DB,23.0,195,Christian Uphoff,christian,['DB'],,#christianuphoff-NFL-FA-0,,Washington (IL),75
8733,,,nfl,LAR,,2.0,0c7ceb00-d207-11ec-ab20-b37737d70cc4,True,6592B272CCBB,,Hummel,,,,,Jacob,3.0,1999-01-04,hummel,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",Iowa State,Active,1058624.0,jacobhummel,1686861027216.0,,,,,16270.0,[],,,,RILB,,35.0,9999999.0,8733,,LB,26.0,229,Jacob Hummel,jacob,['LB'],,#jacobhummel-NFL-LAR-35,,Dowling Catholic (IA),73
11522,,,nfl,,,,64c0ef00-fa65-11ed-b161-c5ef733b4e80,True,,,Kapp,,,,,Jerome,1.0,1999-04-07,kapp,{'channel_id': '1116852698889584640'},Kutztown,Active,1448292.0,jeromekapp,1693334405078.0,,,,,17644.0,[],,,,,,31.0,622.0,11522,,WR,24.0,210,Jerome Kapp,jerome,['WR'],,#jeromekapp-NFL-FA-31,,Boyertown Area Senior (PA),75
2474,,,nfl,,00-0031598,,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,True,,16931.0,Boyle,28559.0,,,,Nick,8.0,1993-02-17,boyle,{'channel_id': '1116852808646131712'},Delaware,Active,608753.0,nickboyle,1673388617497.0,,,,2574591.0,10252.0,[],608753.0,,,,,86.0,9999999.0,2474,,TE,29.0,261,Nick Boyle,nick,['TE'],,#nickboyle-NFL-FA-86,10547.0,High Point Regional (NJ),76
8852,,,nfl,,,,c22d7080-d3b2-11ec-96a0-c3471a31202c,True,,,Clary,,,,,Ty,0.0,1999-05-07,clary,{'channel_id': '1116853538769600512'},Arkansas,Active,1060719.0,tyclary,,,,,,,[],,,,,,61.0,9999999.0,8852,,OL,23.0,299,Ty Clary,ty,['OL'],,#tyclary-NFL-FA-61,,Fayetteville (AR),76
8809,,,nfl,PIT,,,c09be300-d30d-11ec-8b77-45b1765fd110,True,8C27E3A10D7A,,Shampklin,,,,,Aaron,3.0,1999-10-18,shampklin,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",Harvard,Active,1051044.0,aaronshampklin,1736891706315.0,,,,,16367.0,[],,,,RB,,33.0,9999999.0,8809,,RB,25.0,195,Aaron Shampklin,aaron,['RB'],,#aaronshampklin-NFL-PIT-33,,Long Beach Polytechnic (CA),70
